feature_level,population,abs_correlation
6,mated,0.631859207341522
6,mated,0.6410405055250705
6,mated,0.6656773029466505
6,mated,0.6692184056995252
6,mated,0.6221615176985049
6,mated,0.6674592049455017
6,mated,0.5942050851052845
6,mated,0.6350694489641537
6,mated,0.5796949728029864
6,mated,0.5497525230811264
6,mated,0.6236980639639066
6,mated,0.6063826773375526
6,mated,0.6576334948212771
6,mated,0.6628597684774183
6,mated,0.6713813794628342
6,mated,0.6040248628831394
6,mated,0.6181689712213593
6,mated,0.6140078754355048
6,mated,0.6733727843563105
6,mated,0.6536128655408047
6,mated,0.6675137870634996
6,mated,0.7001589516787139
6,mated,0.47624973638663926
6,mated,0.5794591156214681
6,mated,0.5560218778084519
6,mated,0.5794304175539561
6,mated,0.5433310861296359
6,mated,0.5324095601211574
6,mated,0.48263469040240925
6,mated,0.5945149503168292
6,mated,0.5629811975006567
6,mated,0.5732161499448853
6,mated,0.5326935192874377
6,mated,0.510024265370881
6,mated,0.5521578562322356
6,mated,0.5257300920819776
6,mated,0.558690385199105
6,mated,0.5418179025348973
6,mated,0.5528558195739018
6,mated,0.5492452722686494
6,mated,0.5168099149093645
6,mated,0.5771183661046895
6,mated,0.520133474890654
6,mated,0.5544653101001569
6,mated,0.5613262507866575
6,mated,0.5656678270857888
6,mated,0.5662615873514629
6,mated,0.562620549240176
6,mated,0.5380918632357786
6,mated,0.6287229016093158
6,mated,0.6444786021777462
6,mated,0.5900923694791835
6,mated,0.6062860966885883
6,mated,0.661879725035771
6,mated,0.5912806088578851
6,mated,0.6109123726314581
6,mated,0.5453473256419025
6,mated,0.5792289182794766
6,mated,0.5758027015748445
6,mated,0.5695404582026041
6,mated,0.5878792562627491
6,mated,0.6203607682930653
6,mated,0.6276574648150537
6,mated,0.5508989250189007
6,mated,0.5804314885768627
6,mated,0.5069351469055365
6,mated,0.5759885838254507
6,mated,0.568117722527073
6,mated,0.6482149511443481
6,mated,0.57783322122861
6,mated,0.5753644838572796
6,mated,0.5719587276208608
6,mated,0.6047431290671224
6,mated,0.5874109794429347
6,mated,0.5755549938052268
6,mated,0.5579810335400829
6,mated,0.5441056761675511
6,mated,0.48775598091667655
6,mated,0.5996324951448989
6,mated,0.5999283575940839
6,mated,0.5319151143802429
6,mated,0.43950214716725766
6,mated,0.5728071482406815
6,mated,0.6065991381750288
6,mated,0.5706840339270164
6,mated,0.4741445390246834
6,mated,0.5899527676783375
6,mated,0.5768487198245356
6,mated,0.607365983932835
6,mated,0.5966073029898881
6,mated,0.5349304138733392
6,mated,0.45665680085843924
6,mated,0.5513000925648465
6,mated,0.5814904526348285
6,mated,0.6195252667862466
6,mated,0.5732510388203574
6,mated,0.5777293038994561
6,mated,0.5991681290800362
6,mated,0.5889142880647418
6,mated,0.6704248763963943
6,mated,0.6402657312820398
6,mated,0.622255600985839
6,mated,0.5860107510637702
6,mated,0.6504556680550773
6,mated,0.5945595534055717
6,mated,0.5913932183653123
6,mated,0.5848472910815127
6,mated,0.6057005835584709
6,mated,0.5632290671180429
6,mated,0.5519771223565115
6,mated,0.5900202750753765
6,mated,0.5657086593426839
6,mated,0.5229251796493118
6,mated,0.40574434848379143
6,mated,0.5631935010790942
6,mated,0.5782628050905857
6,mated,0.5846930774009718
6,mated,0.5798252169346015
6,mated,0.5666859452477288
6,mated,0.6140764936863211
6,mated,0.5640873456567661
6,mated,0.5630859184316087
6,mated,0.6704864913961485
6,mated,0.6639639087080705
6,mated,0.7091063099390943
6,mated,0.6896552621973233
6,mated,0.6219705845283431
6,mated,0.729304857224502
6,mated,0.7104666955282447
6,mated,0.714262281508914
6,mated,0.6774654845988703
6,mated,0.6382350147520609
6,mated,0.6580341877851863
6,mated,0.6471307093899067
6,mated,0.6548825983716723
6,mated,0.6669921886671314
6,mated,0.6222769888181711
6,mated,0.6385116773396163
6,mated,0.6604673341023336
6,mated,0.6704850288193589
6,mated,0.6144863781042327
6,mated,0.583352409843004
6,mated,0.6370704345096057
6,mated,0.6752203408500146
6,mated,0.676616085973059
6,mated,0.6412885819476932
6,mated,0.6586094423500237
6,mated,0.617084538478524
6,mated,0.6578881592960177
6,mated,0.6668449465080079
6,mated,0.7003566800841065
6,mated,0.6976035391298155
6,mated,0.6707291915073896
6,mated,0.6709564106994685
6,mated,0.6370906085846251
6,mated,0.6696247579914776
6,mated,0.6652189312363345
6,mated,0.6631100860735669
6,mated,0.6481128638852268
